VehicleNumber: 021
21,CHS21AM,6:02 AM,6:46 AM,19.11,04-10-2025
21,CHS21PM,1:45 PM,3:05 PM,33.4,04-10-2025
21,SLES21AM,8:20 AM,9:30 AM,22.11,04-10-2025
21,SLES21PM,4:20 PM,4:58 PM,14.67,04-10-2025
21,SMS21AM,7:08 AM,7:50 AM,21.84,04-10-2025
21,SMS21PM,3:07 PM,3:43 PM,14.21,04-10-2025
VehicleNumber: 022,,,,,
22,BES22AM,8:20 AM,8:35 AM,2.2,04-10-2025
22,BES22PM,3:35 PM,3:50 PM,5.1,04-10-2025
22,NHS22AM,6:22 AM,7:05 AM,20.15,04-10-2025
22,NHS22PM,1:45 PM,3:02 PM,24.56,04-10-2025
22,WHES22AM,8:46 AM,9:30 AM,17.85,04-10-2025
22,WHES22PM,4:20 PM,4:51 PM,13.68,04-10-2025
22,WHMS22AM,7:05 AM,7:50 AM,19.34,04-10-2025
22,WHMS22PM,3:07 PM,3:46 PM,14.95,04-10-2025
VehicleNumber: 023,,,,,
23,CTA23AM,5:42 AM,7:10 AM,3.25,04-10-2025
23,CTA23PM,1:45 PM,3:49 PM,55.44,04-10-2025
23,MHES23AM,7:57 AM,8:35 AM,19.46,04-10-2025
23,MHES23PM,3:35 PM,4:02 PM,10.2,04-10-2025
23,SES23AM,8:40 AM,9:15 AM,15.55,04-10-2025
23,SES23PM,4:20 PM,4:50 PM,13.4,04-10-2025
VehicleNumber: 024,,,,,
24,DES24AM,7:56 AM,8:45 AM,17.74,04-10-2025
24,DES24PM,3:35 PM,4:16 PM,16.87,04-10-2025
24,MCMS24AM,7:20 AM,7:50 AM,9.74,04-10-2025
24,MCMS24PM,3:07 PM,3:38 PM,9.75,04-10-2025
24,PHS24AM,6:31 AM,7:05 AM,13.91,04-10-2025
24,PHS24PM,2:00 PM,2:54 PM,17.13,04-10-2025
VehicleNumber: 025,,,,,
25,NHS25AM,6:30 AM,7:05 AM,15.19,04-10-2025
25,NHS25PM,1:45 PM,3:03 PM,26.16,04-10-2025
25,NMS25AM,7:01 AM,7:50 AM,17.93,04-10-2025
25,NMS25PM,3:07 PM,3:51 PM,15.23,04-10-2025
25,S1083,9:30 AM,10:10 AM,23.21,04-10-2025
25,S1084,11:45 AM,12:33 PM,23.25,04-10-2025
25,WHES25AM,8:41 AM,9:30 AM,22.01,04-10-2025
25,WHES25PM,4:20 PM,4:54 PM,14.63,04-10-2025
VehicleNumber: 021,,,,,
21,CHS21AM,6:02 AM,6:46 AM,19.11,04-11-2025
21,CHS21PM,1:45 PM,3:05 PM,33.4,04-11-2025
21,SLES21AM,8:20 AM,9:30 AM,22.11,04-11-2025
21,SLES21PM,4:20 PM,4:58 PM,14.67,04-11-2025
21,SMS21AM,7:08 AM,7:50 AM,21.84,04-11-2025
21,SMS21PM,3:07 PM,3:43 PM,14.21,04-11-2025
VehicleNumber: 022,,,,,
22,BES22AM,8:26 AM,8:35 AM,2.2,04-11-2025
22,BES22PM,3:35 PM,3:50 PM,5.1,04-11-2025
22,NHS22AM,6:22 AM,7:05 AM,20.15,04-11-2025
22,NHS22PM,1:45 PM,3:02 PM,24.56,04-11-2025
22,WHES22AM,8:46 AM,9:30 AM,17.85,04-11-2025
22,WHES22PM,4:20 PM,4:51 PM,13.68,04-11-2025
22,WHMS22AM,7:05 AM,7:50 AM,19.34,04-11-2025
22,WHMS22PM,3:07 PM,3:46 PM,14.95,04-11-2025
VehicleNumber: 023,,,,,
23,CTA23AM,5:42 AM,7:10 AM,3.25,04-11-2025
23,CTA23PM,1:45 PM,3:49 PM,55.44,04-11-2025
23,MHES23AM,7:57 AM,8:35 AM,19.46,04-11-2025
23,MHES23PM,3:35 PM,4:02 PM,10.2,04-11-2025
23,SES23AM,8:40 AM,9:15 AM,15.55,04-11-2025
23,SES23PM,4:20 PM,4:50 PM,13.4,04-11-2025
VehicleNumber: 024,,,,,
24,DES24AM,7:56 AM,8:45 AM,17.74,04-11-2025
24,DES24PM,3:35 PM,4:16 PM,16.87,04-11-2025
24,MCMS24AM,7:20 AM,7:50 AM,9.74,04-11-2025
24,MCMS24PM,3:07 PM,3:38 PM,9.75,04-11-2025
24,PHS24AM,6:31 AM,7:05 AM,13.91,04-11-2025
24,PHS24PM,2:00 PM,2:54 PM,17.13,04-11-2025
VehicleNumber: 025,,,,,
25,NHS25AM,6:30 AM,7:05 AM,15.19,04-11-2025
25,NHS25PM,1:45 PM,3:03 PM,26.16,04-11-2025
25,NMS25AM,7:01 AM,7:50 AM,17.93,04-11-2025
25,NMS25PM,3:07 PM,3:51 PM,15.23,04-11-2025
25,S1083,9:30 AM,10:10 AM,23.21,04-11-2025
25,WHES25AM,8:41 AM,9:30 AM,22.01,04-11-2025
25,WHES25PM,4:20 PM,4:54 PM,14.63,04-11-2025,
